期权代码,期权名称,最新价,涨跌幅,行权价,折溢价率,标的名称,标的最新价,标的涨跌幅,盈亏平衡价,到期日
10009751,科创50购12月1350,0.1953,20.18,1.35,1.0,科创50ETF,1.53,3.73,1.545,2025-12-24
10009781,科创50购12月1400,0.1662,20.09,1.4,2.37,科创50ETF,1.53,3.73,1.566,2025-12-24
10009911,300ETF购10月4500,0.193,19.88,4.5,0.64,沪深300ETF,4.663,0.89,4.693,2025-10-22
10008873,科创板50购9月1200,0.29,19.83,1.2,-0.33,科创板50ETF,1.495,3.68,1.49,2025-09-24
10009993,科创50购3月1600,0.1198,19.56,1.6,12.41,科创50ETF,1.53,3.73,1.72,2026-03-25
10008837,500ETF购9月6500,0.9261,19.19,6.5,-0.08,中证500ETF,7.432,2.13,7.426,2025-09-24
10009675,500ETF购3月6750,0.661,19.06,6.75,-0.28,中证500ETF,7.432,2.13,7.411,2026-03-25
10008855,科创50购9月1250,0.2675,18.89,1.25,-0.82,科创50ETF,1.53,3.73,1.518,2025-09-24
10010045,科创板50购3月1650,0.0954,18.8,1.65,16.75,科创板50ETF,1.495,3.68,1.745,2026-03-25
10009914,300ETF购10月4800,0.0396,18.56,4.8,3.79,沪深300ETF,4.663,0.89,4.84,2025-10-22
10009831,500ETF购3月8000,0.1853,18.55,8.0,10.14,中证500ETF,7.432,2.13,8.185,2026-03-25
10009964,科创板50购10月1250,0.2276,18.54,1.25,-1.16,科创板50ETF,1.495,3.68,1.478,2025-10-22
10009783,科创50购3月1400,0.1936,18.48,1.4,4.16,科创50ETF,1.53,3.73,1.594,2026-03-25
10009297,科创板50购12月1250,0.2337,18.39,1.25,-0.76,科创板50ETF,1.495,3.68,1.484,2025-12-24
10009737,科创板50购12月1300,0.1983,18.32,1.3,0.22,科创板50ETF,1.495,3.68,1.498,2025-12-24
10009846,科创50购3月1500,0.1523,18.15,1.5,7.99,科创50ETF,1.53,3.73,1.652,2026-03-25
10009962,科创板50购10月1150,0.3432,17.53,1.15,-0.12,科创板50ETF,1.495,3.68,1.493,2025-10-22
10009879,科创50购3月1550,0.1346,17.35,1.55,10.1,科创50ETF,1.53,3.73,1.685,2026-03-25
10009862,科创板50购3月1500,0.1382,17.32,1.5,9.58,科创板50ETF,1.495,3.68,1.638,2026-03-25
10009945,科创50购10月1250,0.2637,17.2,1.25,-1.07,科创50ETF,1.53,3.73,1.514,2025-10-22
10009845,科创50购3月1450,0.1695,16.98,1.45,5.85,科创50ETF,1.53,3.73,1.62,2026-03-25
10009807,科创板50购3月1400,0.177,16.75,1.4,5.48,科创板50ETF,1.495,3.68,1.577,2026-03-25
10009733,科创50购3月1300,0.2451,16.55,1.3,0.99,科创50ETF,1.53,3.73,1.545,2026-03-25
10009777,科创板50购3月1350,0.198,16.54,1.35,3.55,科创板50ETF,1.495,3.68,1.548,2026-03-25
10009309,科创50购12月1300,0.2284,16.29,1.3,-0.1,科创50ETF,1.53,3.73,1.528,2025-12-24
10009861,科创板50购3月1450,0.1546,16.24,1.45,7.33,科创板50ETF,1.495,3.68,1.605,2026-03-25
10009910,300ETF购10月4400,0.2762,16.0,4.4,0.28,沪深300ETF,4.663,0.89,4.676,2025-10-22
10009695,科创50购3月1250,0.2777,15.85,1.25,-0.15,科创50ETF,1.53,3.73,1.528,2026-03-25
10009753,科创50购3月1350,0.2185,15.73,1.35,2.52,科创50ETF,1.53,3.73,1.569,2026-03-25
10009279,科创50购12月1250,0.2619,15.63,1.25,-1.18,科创50ETF,1.53,3.73,1.512,2025-12-24
10008854,科创50购9月1200,0.3179,15.6,1.2,-0.79,科创50ETF,1.53,3.73,1.518,2025-09-24
10009739,科创板50购3月1300,0.224,15.4,1.3,1.94,科创板50ETF,1.495,3.68,1.524,2026-03-25
10009501,300ETF购9月4400,0.2559,15.27,4.4,-0.15,沪深300ETF,4.663,0.89,4.656,2025-09-24
10009915,300ETF购10月4900,0.0221,15.1,4.9,5.56,沪深300ETF,4.663,0.89,4.922,2025-10-22
